Marca,Modello,Versione,Prezzo,Lunghezza,Larghezza,Altezza,Posti,Bagagliaio,Garanzia,Motorizzazione,Cilindrata cm³,Cilindri,Potenza CV/KW,Potenza termico CV/KW,Potenza omologata CV/KW,Coppia Nm,Velocità max km/h,Consumo medio l/100 km,Consumo medio kWh/100 km,Emissioni,Peso kg,Autonomia km,Capacità batteria kWh
MG,Marvel R,70 kWh Luxury,48.690,467,192,161,5,ant. 150post. 357/1396,7/150.000,elettrica,nd,nd,179 CV/132 KW,nd,88 CV/65 KW,410,200,nd,"17,5 kWh/100 km",0 G/KM,1.810,402,nd
MG,Marvel R,70 kWh Performance,52.690,467,192,161,5,ant. 150post. 357/1396,7/150.000,elettrica,nd,nd,288 CV/212 KW,nd,143 CV/105 KW,665,200,nd,"20,9 kWh/100 km",0 G/KM,1.920,370,nd
MG,ZS,1.5 Comfort,22.490,443,182,164,5,443/1298,7/150.000,benzina,1.495,4,116 CV/85 KW,nd,nd,148,179,"6,5 l/100 Km",nd,145 G/KM,1.255,nd,nd
MG,ZS,1.5 Hybrid+ Comfort,25.490,443,182,164,5,443/1298,7/150.000,ibrida benzina HEV,1.498,4,197 CV/145 KW,102 CV/75 KW,nd,465,168,5 l/100 Km,nd,113-115 G/KM,1.380,nd,nd
MG,ZS,1.5 Hybrid+ Luxury,27.490,443,182,164,5,443/1298,7/150.000,ibrida benzina HEV,1.498,4,197 CV/145 KW,102 CV/75 KW,nd,465,168,5 l/100 Km,nd,113-115 G/KM,1.380,nd,nd
MG,ZS,1.5 Hybrid+ Standard,23.490,443,182,164,5,443/1298,7/150.000,ibrida benzina HEV,1.498,4,197 CV/145 KW,102 CV/75 KW,nd,465,168,5 l/100 Km,nd,113-115 G/KM,1.380,nd,nd
MG,ZS,1.5 Standard,20.490,443,182,164,5,443/1298,7/150.000,benzina,1.495,4,116 CV/85 KW,nd,nd,148,179,"6,5 l/100 Km",nd,145 G/KM,1.255,nd,nd
MG,ZS,Classic 1.0 T-GDI Luxury,21.540,432,181,165,5,448/1375,7/150.000,benzina,999,3,nd,nd,nd,160,180,"6,6",nd,149-163,1.259-1.264,nd,nd
MG,ZS,Classic 1.0 T-GDI Luxury AT,22.540,432,181,165,5,448/1375,7/150.000,benzina,999,3,nd,nd,nd,160,180,"6,6",nd,149-163,1.259-1.264,nd,nd
MG,ZS,Classic 1.5 VTi Comfort,17.990,432,181,165,5,448/1375,7/150.000,benzina,1.498,4,106 CV/78 KW,nd,nd,141,175,"6,6 l/100 Km",nd,149 G/KM,1.231-1.239,nd,nd
MG,ZS,Classic 1.5 VTi Comfort,17.540,432,181,165,5,448/1375,7/150.000,benzina,1.498,4,nd,nd,nd,141,175,"6,6",nd,149,1.231-1.239,nd,nd
MG,ZS,Classic 1.5 VTi Luxury,19.990,432,181,165,5,448/1375,7/150.000,benzina,1.498,4,106 CV/78 KW,nd,nd,141,175,"6,6 l/100 Km",nd,149 G/KM,1.231-1.239,nd,nd
MG,ZS,Classic 1.5 VTi Luxury,19.540,432,181,165,5,448/1375,7/150.000,benzina,1.498,4,nd,nd,nd,141,175,"6,6",nd,149,1.231-1.239,nd,nd
MG,ZS,Classic EV Comfort 51 kWh,34.490,432,181,165,5,448/1375,7/150.000,elettrica,nd,nd,177 CV/130 KW,nd,102 CV/75 KW,280,175,nd,17 kWh/100 km,0 G/KM,1.570,320,nd
MG,ZS,Classic EV Comfort 51 kWh,34.490,432,181,165,5,448/1375,7/150.000,elettrica,nd,nd,nd,nd,nd,280,175,17,nd,0,1.570,320,nd
MG,ZS,Classic EV Comfort 72 kWh,39.290,432,181,165,5,448/1375,7/150.000,elettrica,nd,nd,156 CV/115 KW,nd,99 CV/73 KW,280,175,nd,17 kWh/100 km,0 G/KM,1.620,440,nd
MG,ZS,Classic EV Comfort 72 kWh,39.290,432,181,165,5,448/1375,7/150.000,elettrica,nd,nd,nd,nd,nd,280,175,17,nd,0,1.620,440,nd
MG,ZS,Classic EV Luxury 51 kWh,35.990,432,181,165,5,448/1375,7/150.000,elettrica,nd,nd,177 CV/130 KW,nd,102 CV/75 KW,280,175,nd,17 kWh/100 km,0 G/KM,1.570,320,nd
MG,ZS,Classic EV Luxury 51 kWh,35.990,432,181,165,5,448/1375,7/150.000,elettrica,nd,nd,nd,nd,nd,280,175,17,nd,0,1.570,320,nd
MG,ZS,Classic EV Luxury 72 kWh,40.790,432,181,165,5,448/1375,7/150.000,elettrica,nd,nd,156 CV/115 KW,nd,99 CV/73 KW,280,175,nd,17 kWh/100 km,0 G/KM,1.620,440,nd
MG,ZS,Classic EV Luxury 72 kWh,40.790,432,181,165,5,448/1375,7/150.000,elettrica,nd,nd,nd,nd,nd,280,175,17,nd,0,1.620,440,nd
Omoda,5,1.6 TGDI Comfort,27.900,442,183,159,5,360/1075-1149,7/150.000,benzina,1.600,4,147 CV/108 KW,nd,nd,275,195,7 l/100 Km,nd,159 G/KM,1.455,nd,nd
Omoda,5,1.6 TGDI Premium,29.900,442,183,159,5,360/1075-1149,7/150.000,benzina,1.600,4,147 CV/108 KW,nd,nd,275,195,7 l/100 Km,nd,159 G/KM,1.455,nd,nd
Omoda,5,1.6 TGDI Pure,26.900,442,183,159,5,360/1075-1149,7/150.000,benzina,1.600,4,147 CV/108 KW,nd,nd,275,195,7 l/100 Km,nd,159 G/KM,1.455,nd,nd
Omoda,5,EV Comfort,36.490,442,183,159,5,360/1075-1149,7/150.000,elettrica,nd,nd,204 CV/150 KW,nd,nd,340,172,nd,"15,5 kWh/100 km",0 G/KM,1.710,430,61
Omoda,5,EV Premium,38.490,442,183,159,5,360/1075-1149,7/150.000,elettrica,nd,nd,204 CV/150 KW,nd,nd,340,172,nd,"15,5 kWh/100 km",0 G/KM,1.710,430,61
Omoda,9,1.5 PHEV 537 CV Premium i-AWD,51.900,478,192,167,5,660/1783,7/150.000,plug-in benzina PHEV,1.500,4,537 CV/395 KW,143 CV/105 KW,nd,650,180,nd,nd,38 G/KM,2.195,145,nd
Polestar,2,Long Range,53.400,461,180,148,5,ant. 41post. 407/1097,3/100.000,elettrica,nd,nd,299 CV/220 KW,nd,nd,490,205,nd,"14,8 kWh/100 km",0 G/KM,2.006,659,82
Polestar,2,Long Range AWD,57.400,461,180,148,5,ant. 41post. 407/1097,3/100.000,elettrica,nd,nd,421 CV/310 KW,nd,nd,740,205,nd,"15,8 kWh/100 km",0 G/KM,2.110,596,82
Polestar,2,Long Range Performance AWD,67.400,461,180,148,5,ant. 41post. 407/1097,3/100.000,elettrica,nd,nd,476 CV/350 KW,nd,nd,740,205,nd,"16,8 kWh/100 km",0 G/KM,2.107,568,82
Polestar,3,Long Range AWD,92.900,490,197,162,5,ant. 32post. 484/1411,2/illimitati,elettrica,nd,nd,489 CV/360 KW,nd,nd,840,210,nd,"19,7 kWh/100 km",0 G/KM,2.584,631,111
Polestar,3,Long Range Performance AWD,99.900,490,197,162,5,ant. 32post. 484/1411,2/illimitati,elettrica,nd,nd,517 CV/380 KW,nd,nd,910,210,nd,"22,1 kWh/100 km",0 G/KM,2.584,561,111
Polestar,3,Long Range RWD,85.900,490,197,162,5,ant. 32post. 484/1411,2/illimitati,elettrica,nd,nd,299 CV/220 KW,nd,nd,490,180,nd,"18,9 kWh/100 km",0 G/KM,nd,650,111
Polestar,4,Long Range Dual Motor,73.750,484,201,154,5,ant. 15post. 526/1536,2/illimitati,elettrica,nd,nd,544 CV/400 KW,nd,nd,686,200,nd,"18,6 kWh/100 km",0 G/KM,nd,580,100
Polestar,4,Long Range Single Motor,66.900,484,201,154,5,ant. 15post. 526/1536,2/illimitati,elettrica,nd,nd,272 CV/200 KW,nd,nd,343,200,nd,"17,7 kWh/100 km",0 G/KM,nd,610,100
SWM,G01,1.5 Turbo,23.990,461,186,173,5,970/1600,5/100.000,benzina,1.499,4,133 CV/98 KW,nd,nd,212,nd,"7,2 l/100 Km",nd,198-200 G/KM,1.550-1.560,nd,nd
SWM,G01,1.5 Turbo DCT,25.990,461,186,173,5,970/1600,5/100.000,benzina,1.499,4,133 CV/98 KW,nd,nd,212,nd,"7,2 l/100 Km",nd,198-200 G/KM,1.550-1.560,nd,nd
SWM,G01F,1.5 Turbo DCT,26.990,467,186,174,5,570/1600,5/100.000,benzina,1.499,4,139 CV/102 KW,nd,nd,212,nd,"8,9 l/100 Km",nd,200 G/KM,1.550,nd,nd
SWM,G03F,1.5,19.900,461,182,183,7/5,165-705/1564,5/100.000,benzina,1.498,4,110 CV/81 KW,nd,nd,155,165,"7,2 l/100 Km",nd,181 G/KM,1.400,nd,nd
SWM,G03F,1.5 7 posti,19.900,461,182,183,7/5,165-705/1564,5/100.000,benzina,1.498,4,110 CV/81 KW,nd,nd,155,165,"7,2 l/100 Km",nd,181 G/KM,1.400,nd,nd
SWM,G03F,1.5 Super Hybrid CVT,28.990,461,182,183,7/5,165-705/1564,5/100.000,plug-in benzina PHEV,1.498,4,143 CV/105 KW,102 CV/75 KW,nd,210,156,nd,nd,56 G/KM,1.600,50,nd
SWM,G03F,1.5 Super Hybrid CVT 7 posti,28.990,461,182,183,7/5,165-705/1564,5/100.000,plug-in benzina PHEV,1.498,4,143 CV/105 KW,102 CV/75 KW,nd,210,156,nd,nd,56 G/KM,1.600,50,nd
SWM,G05,1.5 Turbo,23.890,475,186,178,7,562/3024,5/100.000,benzina,1.499,4,139 CV/102 KW,nd,nd,230,nd,"8,5 l/100 Km",nd,194-195 G/KM,1.560-1.595,nd,nd
